,nuclei_fA/diploid_fA_lower/diploid_fA_upper- | Count,nuclei_fA/tetraploid_fA | Count,line,rep,salt,week,plate
Specimen_001_D4s.fcs,507,9134,D,4,1,3,1
Specimen_001_D5s.fcs,4958,12471,D,5,1,3,1
Specimen_001_D6s.fcs,907,8930,D,6,1,3,1
Specimen_001_A1.fcs,4353,16035,A,1,0,4,1
Specimen_001_A2.fcs,8924,41703,A,2,0,4,1
Specimen_001_A4.fcs,3050,29371,A,4,0,4,1
Specimen_001_A5.fcs,5330,33171,A,5,0,4,1
Specimen_001_A6.fcs,2120,38805,A,6,0,4,1
Specimen_001_B1.fcs,3728,12470,B,1,0,4,1
Specimen_001_B2.fcs,2030,10915,B,2,0,4,1
Specimen_001_B3.fcs,1047,17003,B,3,0,4,1
Specimen_001_B4.fcs,2912,16432,B,4,0,4,1
Specimen_001_B5.fcs,1118,23430,B,5,0,4,1
Specimen_001_B6.fcs,1605,18069,B,6,0,4,1
Specimen_001_C1.fcs,462,8554,C,1,0,4,1
Specimen_001_C2.fcs,1597,6645,C,2,0,4,1
Specimen_001_C3.fcs,1225,9900,C,3,0,4,1
Specimen_001_C4.fcs,2547,13526,C,4,0,4,1
Specimen_001_C5.fcs,2783,17283,C,5,0,4,1
Specimen_001_C6.fcs,5017,22786,C,6,0,4,1
Specimen_001_D1.fcs,6501,24853,D,1,0,4,1
Specimen_001_D2.fcs,2592,27508,D,2,0,4,1
Specimen_001_D3.fcs,14505,17111,D,3,0,4,1
Specimen_001_D4.fcs,4200,17728,D,4,0,4,1
Specimen_001_D5.fcs,11402,13400,D,5,0,4,1
Specimen_001_D6.fcs,5594,22777,D,6,0,4,1
Specimen_001_A1s.fcs,1687,32136,A,1,1,4,1
Specimen_001_A2s.fcs,1072,22314,A,2,1,4,1
Specimen_001_A3s.fcs,3842,30370,A,3,1,4,1
Specimen_001_A4s.fcs,3671,21035,A,4,1,4,1
Specimen_001_A5s.fcs,1337,18736,A,5,1,4,1
Specimen_001_A6s.fcs,1976,38019,A,6,1,4,1
Specimen_001_B1s.fcs,2714,13605,B,1,1,4,1
Specimen_001_B3s.fcs,3791,22384,B,3,1,4,1
Specimen_001_B4s.fcs,3001,17491,B,4,1,4,1
Specimen_001_B5s.fcs,5765,20025,B,5,1,4,1
Specimen_001_B6s.fcs,2749,18733,B,6,1,4,1
Specimen_001_C1s.fcs,1409,7180,C,1,1,4,1
Specimen_001_C3s.fcs,1510,3321,C,3,1,4,1
Specimen_001_C4s.fcs,1589,3934,C,4,1,4,1
Specimen_001_C5s.fcs,2076,9134,C,5,1,4,1
Specimen_001_C6s.fcs,3034,11851,C,6,1,4,1
Specimen_001_D1s.fcs,2227,4330,D,1,1,4,1
Specimen_001_D2s.fcs,2666,9522,D,2,1,4,1
Specimen_001_D4s.fcs,3103,17052,D,4,1,4,1
Specimen_001_D5s.fcs,2854,5336,D,5,1,4,1
Specimen_001_D6s.fcs,3273,15210,D,6,1,4,1
B1.fcs,451,1697,A,1,0,5,1
B2.fcs,827,6882,A,2,0,5,1
B3.fcs,1302,6157,A,3,0,5,1
B4.fcs,1257,6636,A,4,0,5,1
B5.fcs,1180,6571,A,5,0,5,1
B6.fcs,564,7375,A,6,0,5,1
B7.fcs,1126,5479,B,1,0,5,1
B8.fcs,738,3093,B,2,0,5,1
B11.fcs,671,3194,B,5,0,5,1
B12.fcs,418,5177,B,6,0,5,1
C1.fcs,1210,6883,C,1,0,5,1
C2.fcs,1546,5977,C,2,0,5,1
C3.fcs,1145,7045,C,3,0,5,1
C4.fcs,1549,6193,C,4,0,5,1
C5.fcs,445,7158,C,5,0,5,1
C6.fcs,600,7483,C,6,0,5,1
C7.fcs,1713,5888,D,1,0,5,1
C8.fcs,1606,5805,D,2,0,5,1
C9.fcs,4807,3157,D,3,0,5,1
C10.fcs,763,6448,D,4,0,5,1
C11.fcs,812,632,D,5,0,5,1
C12.fcs,4841,3939,D,6,0,5,1
B1.fcs,372,7891,A,1,1,5,2
B2.fcs,448,7688,A,2,1,5,2
B3.fcs,375,7649,A,3,1,5,2
B4.fcs,394,7665,A,4,1,5,2
B5.fcs,913,7149,A,5,1,5,2
B6.fcs,418,7506,A,6,1,5,2
B7.fcs,1414,6736,B,1,1,5,2
B8.fcs,319,5614,B,2,1,5,2
B9.fcs,2311,2667,B,3,1,5,2
B10.fcs,758,5330,B,4,1,5,2
B11.fcs,1059,5736,B,5,1,5,2
B12.fcs,1014,5043,B,6,1,5,2
C1.fcs,500,5253,C,1,1,5,2
C2.fcs,1607,6124,C,2,1,5,2
C3.fcs,2055,1141,C,3,1,5,2
C6.fcs,1335,5216,C,6,1,5,2
C7.fcs,2994,5455,D,1,1,5,2
C8.fcs,4168,4455,D,2,1,5,2
C9.fcs,2473,6127,D,3,1,5,2
C10.fcs,1130,7249,D,4,1,5,2
C11.fcs,2065,3868,D,5,1,5,2
C12.fcs,1314,7557,D,6,1,5,2
B1.fcs,2678,5300,A,1,0,6,1
B2.fcs,1115,6868,A,2,0,6,1
B3.fcs,2449,5758,A,3,0,6,1
B4.fcs,2623,5653,A,4,0,6,1
B5.fcs,1761,6424,A,5,0,6,1
B6.fcs,884,6951,A,6,0,6,1
B7.fcs,1368,6262,B,1,0,6,1
B8.fcs,2987,4814,B,2,0,6,1
B9.fcs,2449,5456,B,3,0,6,1
B10.fcs,824,6450,B,4,0,6,1
B11.fcs,1290,6441,B,5,0,6,1
B12.fcs,422,7208,B,6,0,6,1
C1.fcs,491,8011,C,1,0,6,1
C2.fcs,1432,6941,C,2,0,6,1
C3.fcs,1963,6614,C,3,0,6,1
C4.fcs,2239,5207,C,4,0,6,1
C5.fcs,618,7461,C,5,0,6,1
C6.fcs,1672,6963,C,6,0,6,1
C7.fcs,2847,5511,D,1,0,6,1
C8.fcs,1791,6638,D,2,0,6,1
C9.fcs,4132,4411,D,3,0,6,1
C10.fcs,1341,6820,D,4,0,6,1
C11.fcs,4844,4259,D,5,0,6,1
C12.fcs,3627,4870,D,6,0,6,1
B1.fcs,612,5590,A,1,1,6,2
B2.fcs,1733,6920,A,2,1,6,2
B3.fcs,1662,5818,A,3,1,6,2
B4.fcs,1517,6427,A,4,1,6,2
B5.fcs,1023,7016,A,5,1,6,2
B6.fcs,603,5575,A,6,1,6,2
B7.fcs,3725,4739,B,1,1,6,2
B8.fcs,1596,5504,B,2,1,6,2
B9.fcs,677,5270,B,3,1,6,2
B10.fcs,2841,4872,B,4,1,6,2
B11.fcs,3725,4796,B,5,1,6,2
B12.fcs,1121,4350,B,6,1,6,2
C1.fcs,911,4070,C,1,1,6,2
C2.fcs,765,7714,C,2,1,6,2
C3.fcs,2896,4761,C,3,1,6,2
C4.fcs,1569,4041,C,4,1,6,2
C5.fcs,1522,4163,C,5,1,6,2
C6.fcs,1287,4711,C,6,1,6,2
C7.fcs,2056,5254,D,1,1,6,2
C8.fcs,1052,5091,D,2,1,6,2
C9.fcs,2331,3393,D,3,1,6,2
C10.fcs,1411,3084,D,4,1,6,2
C11.fcs,1298,2709,D,5,1,6,2
C12.fcs,720,3225,D,6,1,6,2
B1.fcs,3260,5138,A,1,0,7,1
B2.fcs,3419,5033,A,2,0,7,1
B3.fcs,2116,5679,A,3,0,7,1
B4.fcs,1080,6985,A,4,0,7,1
B5.fcs,1302,3685,A,5,0,7,1
B6.fcs,831,6865,A,6,0,7,1
B7.fcs,3103,4697,B,1,0,7,1
B8.fcs,1636,5798,B,2,0,7,1
B9.fcs,1702,5886,B,3,0,7,1
B10.fcs,648,6653,B,4,0,7,1
B11.fcs,2058,5532,B,5,0,7,1
B12.fcs,1736,5830,B,6,0,7,1
C1.fcs,1121,7262,C,1,0,7,1
C2.fcs,847,7442,C,2,0,7,1
C3.fcs,1581,6673,C,3,0,7,1
C4.fcs,1712,7030,C,4,0,7,1
C5.fcs,1167,7647,C,5,0,7,1
C6.fcs,482,8164,C,6,0,7,1
C7.fcs,5310,3330,D,1,0,7,1
C8.fcs,5056,3542,D,2,0,7,1
C9.fcs,1177,6778,D,3,0,7,1
C10.fcs,3079,5225,D,4,0,7,1
C11.fcs,2826,5483,D,5,0,7,1
C12.fcs,2693,5102,D,6,0,7,1
B1.fcs,491,7623,A,1,1,7,2
B2.fcs,1984,5685,A,2,1,7,2
B3.fcs,728,7184,A,3,1,7,2
B4.fcs,1837,4981,A,4,1,7,2
B5.fcs,559,7067,A,5,1,7,2
B6.fcs,502,7019,A,6,1,7,2
B7.fcs,908,3149,B,1,1,7,2
B8.fcs,627,4650,B,2,1,7,2
B9.fcs,427,278,B,3,1,7,2
B10.fcs,694,7207,B,4,1,7,2
B11.fcs,1979,4577,B,5,1,7,2
B12.fcs,1858,6024,B,6,1,7,2
C1.fcs,2000,6539,C,1,1,7,2
C2.fcs,2046,5970,C,2,1,7,2
C3.fcs,1438,5530,C,3,1,7,2
C4.fcs,2345,6108,C,4,1,7,2
C5.fcs,3280,4240,C,5,1,7,2
C6.fcs,2698,5352,C,6,1,7,2
C7.fcs,5646,1495,D,1,1,7,2
C8.fcs,2334,3222,D,2,1,7,2
C9.fcs,4211,3189,D,3,1,7,2
C10.fcs,3244,3057,D,4,1,7,2
C11.fcs,3422,2576,D,5,1,7,2
C12.fcs,1096,5538,D,6,1,7,2
B1.fcs,4881,4124,A,1,0,8,1
B2.fcs,2914,5950,A,2,0,8,1
B3.fcs,1946,6426,A,3,0,8,1
B4.fcs,5120,4028,A,4,0,8,1
B5.fcs,1019,7147,A,5,0,8,1
B6.fcs,506,7998,A,6,0,8,1
B7.fcs,1477,6164,B,1,0,8,1
B8.fcs,2841,4302,B,2,0,8,1
B9.fcs,2761,4067,B,3,0,8,1
B10.fcs,2717,4183,B,4,0,8,1
B11.fcs,1562,5924,B,5,0,8,1
B12.fcs,1546,5574,B,6,0,8,1
C1.fcs,344,8459,C,1,0,8,1
C2.fcs,1134,6946,C,2,0,8,1
C3.fcs,2551,5910,C,3,0,8,1
C4.fcs,2025,6798,C,4,0,8,1
C5.fcs,398,7829,C,5,0,8,1
C6.fcs,1054,7529,C,6,0,8,1
C7.fcs,4757,3439,D,1,0,8,1
C8.fcs,3855,3944,D,2,0,8,1
C9.fcs,5437,3154,D,3,0,8,1
C10.fcs,3929,4625,D,4,0,8,1
C11.fcs,6220,2698,D,5,0,8,1
C12.fcs,4336,4338,D,6,0,8,1
D1.fcs,954,6039,A,1,1,8,2
B2.fcs,1244,6642,A,2,1,8,2
B3.fcs,771,6889,A,3,1,8,2
B4.fcs,957,7611,A,4,1,8,2
B5.fcs,1016,6965,A,5,1,8,2
B6.fcs,574,6954,A,6,1,8,2
B7.fcs,4106,3966,B,1,1,8,2
B8.fcs,695,5960,B,2,1,8,2
B9.fcs,3482,4305,B,3,1,8,2
B10.fcs,1478,6074,B,4,1,8,2
B11.fcs,2317,2072,B,5,1,8,2
B12.fcs,1851,6173,B,6,1,8,2
C1.fcs,999,5844,C,1,1,8,2
C2.fcs,2147,3260,C,2,1,8,2
C3.fcs,6507,2205,C,3,1,8,2
C4.fcs,3662,4321,C,4,1,8,2
C5.fcs,2491,4824,C,5,1,8,2
C6.fcs,1599,6324,C,6,1,8,2
C7.fcs,3757,4415,D,1,1,8,2
C8.fcs,2438,5676,D,2,1,8,2
C9.fcs,3614,4569,D,3,1,8,2
C10.fcs,6165,2191,D,4,1,8,2
C11.fcs,3389,4746,D,5,1,8,2
C12.fcs,3357,4440,D,6,1,8,2
B1.fcs,3439,4785,A,1,0,9,1
B2.fcs,2427,5999,A,2,0,9,1
B3.fcs,1339,6605,A,3,0,9,1
B4.fcs,2053,6425,A,4,0,9,1
B5.fcs,2899,5393,A,5,0,9,1
B6.fcs,669,7578,A,6,0,9,1
B7.fcs,1791,5879,B,1,0,9,1
B8.fcs,4088,3983,B,2,0,9,1
B9.fcs,2971,5363,B,3,0,9,1
B10.fcs,2157,5969,B,4,0,9,1
B11.fcs,570,7206,B,5,0,9,1
B12.fcs,1431,7388,B,6,0,9,1
C1.fcs,382,7838,C,1,0,9,1
C2.fcs,2280,6069,C,2,0,9,1
C3.fcs,2195,6468,C,3,0,9,1
C4.fcs,567,7324,C,4,0,9,1
C5.fcs,2106,6284,C,5,0,9,1
C6.fcs,698,8421,C,6,0,9,1
C7.fcs,3638,3101,D,1,0,9,1
C8.fcs,4791,3468,D,2,0,9,1
C10.fcs,2865,5234,D,4,0,9,1
C11.fcs,6331,1865,D,5,0,9,1
C12.fcs,4764,3525,D,6,0,9,1
B1.fcs,366,7547,A,1,1,9,2
B3.fcs,752,7050,A,3,1,9,2
B4.fcs,3841,4324,A,4,1,9,2
B5.fcs,495,7414,A,5,1,9,2
B6.fcs,372,7346,A,6,1,9,2
B7.fcs,4609,3710,B,1,1,9,2
B8.fcs,1516,6063,B,2,1,9,2
B9.fcs,5172,2959,B,3,1,9,2
B10.fcs,658,6734,B,4,1,9,2
B11.fcs,4771,3215,B,5,1,9,2
B12.fcs,2633,3941,B,6,1,9,2
C1.fcs,1101,4504,C,1,1,9,2
C2.fcs,1281,5753,C,2,1,9,2
C3.fcs,7145,1918,C,3,1,9,2
C4.fcs,3589,4639,C,4,1,9,2
C5.fcs,1366,6499,C,5,1,9,2
C6.fcs,4152,4424,C,6,1,9,2
C7.fcs,6743,1983,D,1,1,9,2
C8.fcs,4303,4063,D,2,1,9,2
C9.fcs,7374,1443,D,3,1,9,2
C10.fcs,5786,2816,D,4,1,9,2
C11.fcs,4079,4353,D,5,1,9,2
C12.fcs,5720,3314,D,6,1,9,2
B1.fcs,1344,6585,A,1,0,10,1
B2.fcs,1981,5782,A,2,0,10,1
B3.fcs,2003,5717,A,3,0,10,1
B4.fcs,4068,3896,A,4,0,10,1
B5.fcs,1688,6090,A,5,0,10,1
B6.fcs,1084,6722,A,6,0,10,1
B7.fcs,1332,6111,B,1,0,10,1
B8.fcs,2919,4424,B,2,0,10,1
B9.fcs,2439,2875,B,3,0,10,1
B10.fcs,2316,3586,B,4,0,10,1
B11.fcs,2840,2634,B,5,0,10,1
B12.fcs,519,5092,B,6,0,10,1
C1.fcs,2800,5679,C,1,0,10,1
C2.fcs,1170,7020,C,2,0,10,1
C3.fcs,3662,4572,C,3,0,10,1
C4.fcs,2615,5643,C,4,0,10,1
C5.fcs,2486,5744,C,5,0,10,1
C6.fcs,459,7862,C,6,0,10,1
C7.fcs,7665,640,D,1,0,10,1
C8.fcs,5835,1839,D,2,0,10,1
C9.fcs,6846,876,D,3,0,10,1
C10.fcs,5269,2602,D,4,0,10,1
C11.fcs,7140,921,D,5,0,10,1
C12.fcs,6113,1966,D,6,0,10,1
B1.fcs,500,6978,A,1,1,10,2
B2.fcs,904,6903,A,2,1,10,2
B3.fcs,948,6645,A,3,1,10,2
B4.fcs,1944,5891,A,4,1,10,2
B5.fcs,813,6435,A,5,1,10,2
B6.fcs,434,7547,A,6,1,10,2
B7.fcs,6114,2458,B,1,1,10,2
B8.fcs,789,7408,B,2,1,10,2
B9.fcs,7474,951,B,3,1,10,2
B10.fcs,3635,4326,B,4,1,10,2
B11.fcs,4532,3372,B,5,1,10,2
B12.fcs,4000,3901,B,6,1,10,2
C1.fcs,601,6064,C,1,1,10,2
C2.fcs,1233,4481,C,2,1,10,2
C3.fcs,2752,4691,C,3,1,10,2
C4.fcs,3467,2664,C,4,1,10,2
C5.fcs,1526,4550,C,5,1,10,2
C6.fcs,1227,3566,C,6,1,10,2
C7.fcs,7845,931,D,1,1,10,2
C8.fcs,4730,3771,D,2,1,10,2
C9.fcs,5832,2275,D,3,1,10,2
C10.fcs,7944,832,D,4,1,10,2
C11.fcs,5572,3207,D,5,1,10,2
C12.fcs,5817,2824,D,6,1,10,2
B1.fcs,2087,6167,A,1,0,11,1
B2.fcs,3429,4979,A,2,0,11,1
B3.fcs,5660,2959,A,3,0,11,1
B4.fcs,5978,2726,A,4,0,11,1
B5.fcs,2990,5175,A,5,0,11,1
B6.fcs,1235,7292,A,6,0,11,1
B7.fcs,972,7410,B,1,0,11,1
B8.fcs,3011,5516,B,2,0,11,1
B9.fcs,844,7534,B,3,0,11,1
B10.fcs,1986,6470,B,4,0,11,1
B11.fcs,2492,6034,B,5,0,11,1
B12.fcs,1407,7108,B,6,0,11,1
C1.fcs,3628,5701,C,1,0,11,1
C3.fcs,3662,4747,C,3,0,11,1
C4.fcs,985,1167,C,4,0,11,1
C6.fcs,406,2315,C,6,0,11,1
C7.fcs,7987,1400,D,1,0,11,1
C8.fcs,9312,823,D,2,0,11,1
C9.fcs,8478,957,D,3,0,11,1
C10.fcs,2584,966,D,4,0,11,1
C11.fcs,8917,686,D,5,0,11,1
C12.fcs,3273,1619,D,6,0,11,1
B1.fcs,584,7260,A,1,1,11,2
B2.fcs,1483,5946,A,2,1,11,2
B3.fcs,1944,5636,A,3,1,11,2
B4.fcs,2032,5259,A,4,1,11,2
B5.fcs,427,1847,A,5,1,11,2
B6.fcs,437,7122,A,6,1,11,2
B7.fcs,5632,3204,B,1,1,11,2
B8.fcs,1009,7102,B,2,1,11,2
B9.fcs,4834,3947,B,3,1,11,2
B10.fcs,6002,2667,B,4,1,11,2
B11.fcs,2298,5675,B,5,1,11,2
B12.fcs,5773,2975,B,6,1,11,2
C1.fcs,4457,4741,C,1,1,11,2
C2.fcs,593,1099,C,2,1,11,2
C3.fcs,2016,674,C,3,1,11,2
