line,rep,salt,week,weight,size
D,1,0,11,0.4858,small
D,2,0,11,0.4926,small
D,3,0,11,0.4531,small
D,4,0,11,0.4981,small
D,5,0,11,0.4611,small
D,6,0,11,0.442,small
A,1,1,11,0.4727,small
A,2,1,11,0.4613,small
A,3,1,11,0.5055,small
A,4,1,11,0.4746,small
A,5,1,11,0.4193,small
A,6,1,11,0.4481,small
B,1,1,11,0.4723,small
B,2,1,11,0.4794,small
B,3,1,11,0.4636,small
B,4,1,11,0.4729,small
B,5,1,11,0.4604,small
C,1,1,11,0.5059,small
C,2,1,11,0.4489,small
C,3,1,11,0.4685,small
C,4,1,11,0.4602,small
C,5,1,11,0.4608,small
C,6,1,11,0.469,small
D,1,1,11,0.4394,small
D,2,1,11,0.4456,small
D,3,1,11,0.4276,small
D,4,1,11,0.4693,small
D,6,1,11,0.4908,small
A,1,0,12,0.5101,small
A,2,0,12,0.4852,small
A,3,0,12,0.4394,small
A,4,0,12,0.463,small
A,5,0,12,0.4756,small
A,6,0,12,0.522,small
B,1,0,12,0.4756,small
B,2,0,12,0.4501,small
B,3,0,12,0.4885,small
B,4,0,12,0.506,small
B,5,0,12,0.4511,small
B,6,0,12,0.4787,small
C,1,0,12,0.503,small
C,2,0,12,0.4727,small
C,3,0,12,0.4581,small
C,4,0,12,0.4797,small
C,5,0,12,0.4658,small
C,6,0,12,0.4676,small
D,1,0,12,,small
D,2,0,12,0.4618,small
D,3,0,12,0.4571,small
D,4,0,12,0.4417,small
D,5,0,12,0.4341,small
D,6,0,12,0.4757,small
A,1,1,12,0.4527,small
A,2,1,12,0.4609,small
A,3,1,12,0.483,small
A,4,1,12,0.4689,small
A,5,1,12,0.4247,small
A,6,1,12,0.4481,small
B,1,1,12,0.4612,small
B,2,1,12,0.4668,small
B,3,1,12,0.4157,small
B,4,1,12,0.4633,small
B,5,1,12,0.4408,small
C,1,1,12,0.4395,small
C,2,1,12,0.4593,small
C,3,1,12,0.4527,small
C,4,1,12,0.4611,small
C,5,1,12,0.4812,small
C,6,1,12,0.4677,small
D,1,1,12,0.4048,small
D,2,1,12,0.4319,small
D,3,1,12,0.4283,small
D,4,1,12,0.395,small
D,6,1,12,0.4522,small
