,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
E2.fcs,11497,413,2,D,1,1,2,2,D11,2
E3.fcs,7263,256,2,D,2,1,1,2,D21,2
E4.fcs,10050,386,2,D,2,1,2,2,D21,2
E5.fcs,10562,505,2,D,3,1,1,2,D31,2
E6.fcs,11110,478,2,D,3,1,2,2,D31,2
E7.fcs,7998,1120,2,D,4,1,1,2,D41,2
E8.fcs,10737,411,2,D,4,1,2,2,D41,2
E9.fcs,9123,1282,2,D,6,1,1,2,D61,2
E10.fcs,8773,474,2,D,6,1,2,2,D61,2
B1.fcs,10205,260,1,A,1,0,1,3,A10,1
B2.fcs,8281,860,1,A,1,0,2,3,A10,1
B3.fcs,7058,2000,1,A,2,0,1,3,A20,1
B4.fcs,7053,1746,1,A,2,0,2,3,A20,1
B5.fcs,8887,386,1,A,3,0,1,3,A30,1
B6.fcs,8894,1150,1,A,3,0,2,3,A30,1
B7.fcs,7846,1964,1,A,4,0,1,3,A40,1
B8.fcs,7316,1445,1,A,4,0,2,3,A40,1
B9.fcs,7988,1390,1,A,5,0,1,3,A50,1
B10.fcs,8513,313,1,A,5,0,2,3,A50,1
B11.fcs,7641,1078,1,A,6,0,1,3,A60,1
B12.fcs,6685,1660,1,A,6,0,2,3,A60,1
C1.fcs,10254,1050,1,B,1,0,1,3,B10,1
C2.fcs,9213,425,1,B,1,0,2,3,B10,1
C3.fcs,9894,881,1,B,2,0,1,3,B20,1
C4.fcs,8381,1903,1,B,2,0,2,3,B20,1
C5.fcs,8146,1383,1,B,3,0,1,3,B30,1
B1.fcs,15978,770,1,B,3,0,2,3,B30,3
C7.fcs,8584,405,1,B,4,0,1,3,B40,1
B2.fcs,13393,2807,1,B,4,0,2,3,B40,3
C9.fcs,10398,253,1,B,5,0,1,3,B50,1
C10.fcs,6088,3141,1,B,5,0,2,3,B50,1
C11.fcs,6071,3031,1,B,6,0,1,3,B60,1
C12.fcs,8916,351,1,B,6,0,2,3,B60,1
D1.fcs,6969,2543,1,C,1,0,1,3,C10,1
D2.fcs,9017,1191,1,C,1,0,2,3,C10,1
D3.fcs,9704,1119,1,C,2,0,1,3,C20,1
D4.fcs,8509,1711,1,C,2,0,2,3,C20,1
D5.fcs,7229,1027,1,C,3,0,1,3,C30,1
D6.fcs,10145,412,1,C,3,0,2,3,C30,1
D7.fcs,9135,1170,1,C,4,0,1,3,C40,1
D8.fcs,8660,547,1,C,4,0,2,3,C40,1
D9.fcs,6554,311,1,C,5,0,1,3,C50,1
D10.fcs,9695,394,1,C,5,0,2,3,C50,1
D11.fcs,8064,1645,1,C,6,0,1,3,C60,1
D12.fcs,10054,1022,1,C,6,0,2,3,C60,1
E1.fcs,10443,438,1,D,1,0,1,3,D10,1
E2.fcs,10985,734,1,D,1,0,2,3,D10,1
E3.fcs,10480,1544,1,D,2,0,1,3,D20,1
E4.fcs,10408,555,1,D,2,0,2,3,D20,1
E5.fcs,11422,507,1,D,3,0,1,3,D30,1
